id,message,from_id,year,month,day,hour,minute,second,reply
409699,هههههههههههه,6174119769,2023,3,7,14,30,33,
409700,نابلس جنين سالك؟,1744827260,2023,3,7,14,30,34,حاجز على حومش
409701,سالكة,6174119769,2023,3,7,14,30,35,
409702,سالك,564077127,2023,3,7,14,30,43,
409703,,1312264512,2023,3,7,14,30,54,
409704,حاجز على حومش,1827882971,2023,3,7,14,30,57,
409706,ليش معو حق يضحك مش شايفين كيف البلاد مولعة و كيف الشهدا,5468965616,2023,3,7,14,31,29,
409707,كل الطرق بتولع,5468965616,2023,3,7,14,31,33,الطريق الي سالت عنها داخليه
409708,زعترة,564077127,2023,3,7,14,31,34,
409709,بعدين الجروب للمساعدة مش للمسخرة,5468965616,2023,3,7,14,31,43,
409710,الطريق الي سالت عنها داخليه,1827882971,2023,3,7,14,31,46,
409711,اللي بدو يتمسخر ما يرد,5468965616,2023,3,7,14,31,58,
409712,يختي جفنا ورام الله واحد فش اشي اتوكلي ع الله,6174119769,2023,3,7,14,31,59,
409713,حوارة سالك,1165544987,2023,3,7,14,32,15,
409715,كيف الطريق الى نابلس,6136987142,2023,3,7,14,32,16,
409716,حومش بمرقو ولا لا,809900042,2023,3,7,14,32,20,
409717,القصة ومافيها انو ما بتنقاس طريق جفنا على طريق حوارة يتسهار ههههه,6174119769,2023,3,7,14,32,24,
409718,خلص نهينا المووضوع,1827882971,2023,3,7,14,32,28,
409719,من نابلس لجنين كيف الطريق؟,929498037,2023,3,7,14,32,30,حاجز على حومش
409721,طريق جبع؟,929498037,2023,3,7,14,32,46,سالكه
409722,تفتيش وبمرقو,1827882971,2023,3,7,14,32,47,
409723,حاجز على حومش,1018320076,2023,3,7,14,32,49,
409724,سالكه,1827882971,2023,3,7,14,32,54,
409726,حواره و يتسهار سالكه,1696004729,2023,3,7,14,33,11,
409727,قبل شوي وصلنا رام الله من جنين كان كل شيء سالك وتمام,5926141241,2023,3,7,14,33,12,
409728,حركه السير المعتاده مافي حواجز,1827882971,2023,3,7,14,33,17,
409729,شباب كيف الطلعه من نابلس,5665050599,2023,3,7,14,33,36,مافي حواجز سالكه
409730,ازمة يلي مروح من رام الله وعطارة ازمة,5926141241,2023,3,7,14,33,38,
409731,,1312264512,2023,3,7,14,33,42,
409732,مافي حواجز سالكه,1827882971,2023,3,7,14,33,48,
409733,طولكرم لنابلس سالكة؟,5324363903,2023,3,7,14,34,0,
409734,حومش مسكرة,5981431030,2023,3,7,14,34,6,
409736,كيف حوارة,6204650455,2023,3,7,14,34,11,
409737,من أن م ود,5204000487,2023,3,7,14,34,15,
409738,ود,5204000487,2023,3,7,14,34,18,
409739,,5204000487,2023,3,7,14,34,31,
409740,للداخل من حواره شوي وبفتحو بحطو مكعبات,833575361,2023,3,7,14,34,31,
409741,,5204000487,2023,3,7,14,34,32,
409742,,833575361,2023,3,7,14,34,41,
409744,,5107499440,2023,3,7,14,35,56,
409745,حومش  مسكر,5107499440,2023,3,7,14,35,58,
409746,وضع طريق من رام الله إلى طوباس,5661074759,2023,3,7,14,36,4,
409747,زعترة ازمة ماشية,564077127,2023,3,7,14,36,13,
409748,رام الله زعتره تمام,6059305820,2023,3,7,14,36,20,
409749,خواره شباب,5026580665,2023,3,7,14,36,30,
409750,شباب شو وضع الطريق من رام الله ل جنين,1734205472,2023,3,7,14,36,31,
409751,شو وضعها؟,5026580665,2023,3,7,14,36,33,
409752,فقط ازمه بسيطه ع زعتره,6059305820,2023,3,7,14,36,33,
409753,كيف يتما,5086713822,2023,3,7,14,36,35,
409754,"طريق جنين مسكر تماما عند حومش سيلة الظهر 
بالاتجاهين 

طريقة عصيرة سالك",1349353184,2023,3,7,14,36,42,
409755,,1312264512,2023,3,7,14,36,45,
409756,شو وضع ديرشرف,5189491958,2023,3,7,14,39,58,سالك لهسه
409757,يا شباب,5189491958,2023,3,7,14,39,59,
409758,شو وضع صره,1801944802,2023,3,7,14,40,24,منيحة
409759,حومش مغلق والسير شبع واقف للداخل ع جنين,1278989564,2023,3,7,14,40,36,
409760,سالك لهسه,1278989564,2023,3,7,14,40,38,
409761,منيحة,1278989564,2023,3,7,14,40,41,شو وضع زعترة وقبلان ؟؟
409762,صره شباب كيف,5786242365,2023,3,7,14,40,42,سالكة
409763,شرطة من إشارات شيلو الى سنجل,1688669181,2023,3,7,14,40,42,
409764,شو وضع زعترة وقبلان ؟؟,1315419311,2023,3,7,14,41,3,زعترة ازمة خفيفة ماشية
409765,سالكة,1018320076,2023,3,7,14,41,6,
409766,سكرو حواره,6196262291,2023,3,7,14,41,15,
409767,زعترة ازمة خفيفة ماشية,1278989564,2023,3,7,14,41,16,
409768,وقبلان حركة سير ماشية,1278989564,2023,3,7,14,41,22,
409769,دوار شرف سالكه؟؟,5376614091,2023,3,7,14,41,24,
409770,جرافه باول حواره للدخل بعد دوار بيت,5123948715,2023,3,7,14,41,26,يتم وضع مكعبات اسمنتية على جنب الشارع
409771,يعني حاليا الجهتين مناح,1278989564,2023,3,7,14,41,29,
409772,شكلهم بسكرو بالشارع,5123948715,2023,3,7,14,41,33,سكرو مكعبات
409773,,5123948715,2023,3,7,14,41,39,
409774,سكرو مكعبات,6196262291,2023,3,7,14,41,49,
409775,يتم وضع مكعبات اسمنتية على جنب الشارع,1018320076,2023,3,7,14,41,50,
409776,حوارة الجيش حط حجار عالشارع سكرو الطريق للي طالع من حوارة باتجاه رام الله,1967523244,2023,3,7,14,41,55,"الحجار مش عشان يسكرو الشارع 
هسه شوي وبسلك وبفتحو"
409777,,5337437114,2023,3,7,14,42,30,
409778,يعني ما بمرقو حدا ؟,5936036296,2023,3,7,14,42,32,
409779,؟,5936036296,2023,3,7,14,42,41,يعني سكرو حواره ولا شہو  لانو مروحين من رام الله
409780,لحد الان السير باول حواره للداخل بعد دوار بيتا واقف وفي جرافه,5123948715,2023,3,7,14,43,11,فتح السير
409781,يعني سكرو حواره ولا شہو  لانو مروحين من رام الله,5806085379,2023,3,7,14,43,30,بشتغلو بالجرافة بوضع مكعبات  لتخلص شغل بفتح السارع
409782,كيف زعترة لحوارة؟,1325151993,2023,3,7,14,43,47,
409783,"انا مروحة من رام الله ومرقت عادي 
بس سكرو الاتجاه التاني للي رايح ع رام الله",1967523244,2023,3,7,14,43,53,
409784,حومش شو وضعها,1833762359,2023,3,7,14,43,54,
409785,فتح السير,5123948715,2023,3,7,14,43,57,
409786,لا اطلع هاي بدها تسكر الطرق الفرعيه الرئيسيه بقدروش يسكروهن,5433091299,2023,3,7,14,44,3,
409787,بشتغلو بالجرافة بوضع مكعبات  لتخلص شغل بفتح السارع,1018320076,2023,3,7,14,44,7,
409788,,5123948715,2023,3,7,14,44,21,
409790,الشارع,5230403802,2023,3,7,14,44,35,
409791,"الحجار مش عشان يسكرو الشارع 
هسه شوي وبسلك وبفتحو",1278989564,2023,3,7,14,44,37,
409792,يسلمو غالين,5806085379,2023,3,7,14,44,47,
409793,إشارات عيلي سالك,1688669181,2023,3,7,14,44,52,
409794,درب السلامة للجميع,5230403802,2023,3,7,14,44,57,
409795,️حومش فتحت للداخل ع جنين,1278989564,2023,3,7,14,44,57,
409796,حاجز حوارة فاتح؟,5785015680,2023,3,7,14,45,21,فاتح اه
409797,دوار يتسهار سالك,1278989564,2023,3,7,14,45,21,
409798,,1312264512,2023,3,7,14,45,27,
409799,فاتح اه,1278989564,2023,3,7,14,45,27,
409800,معبر الجيب فاتح وسالك,1018320076,2023,3,7,14,46,19,
409801,زعترة سالكة فش ازمة,5883677616,2023,3,7,14,46,35,انو اسهل قبلان ولا عادي
409802,صره سالك ولا عليه اشي,5647986647,2023,3,7,14,46,54,
409803,معبر قلنديا للي خارج من القدس ازمة ازمة,1018320076,2023,3,7,14,47,11,
409804,صرة كيف,5930332948,2023,3,7,14,47,12,سالك
409805,انو اسهل قبلان ولا عادي,1688669181,2023,3,7,14,47,13,عادي حاليا نفس الاشي
409806,,5368558867,2023,3,7,14,47,26,
